               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.056322,            0.012682,                   0,             0.66434,             0.33494,             0.38812,             0.20586,            0.056104,           0.0095828,                   0,            0.008746,            0.008746,            0.008746
                  40,             0.05696,            0.012969,                   0,             0.73358,             0.35904,             0.43032,              0.2269,            0.057274,           0.0099921,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.056394,            0.012631,                   0,             0.74026,             0.29157,             0.36058,             0.19563,            0.057822,            0.010337,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.056301,            0.012918,                   0,             0.72408,             0.41446,             0.46559,             0.23613,            0.050252,           0.0087969,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.055066,             0.01269,                   0,             0.73229,             0.38795,             0.44057,               0.228,            0.053342,           0.0099754,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.055634,            0.012368,                   0,             0.68201,             0.38072,             0.40675,             0.19847,              0.0581,           0.0093269,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.055905,            0.012312,                   0,             0.66528,             0.39277,              0.4205,             0.21957,            0.053025,           0.0087838,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.055118,            0.012882,                   0,             0.64099,             0.32289,              0.3631,             0.17341,            0.065198,            0.013572,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.054636,            0.012608,                   0,              0.6754,             0.39036,             0.42322,             0.20526,            0.059551,            0.011406,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.055395,            0.012097,                   0,             0.65783,             0.36145,             0.40589,             0.21092,            0.059612,           0.0098586,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.054485,            0.012768,                   0,             0.68219,             0.43449,             0.46416,             0.24295,            0.052681,           0.0085721,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.054631,            0.012391,                   0,             0.63563,             0.35422,             0.38764,             0.20079,            0.058933,            0.011814,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.054006,            0.012209,                   0,             0.70503,             0.42892,              0.4635,             0.23198,            0.053586,           0.0099356,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.054484,             0.01269,                   0,             0.76909,             0.29639,             0.35737,             0.19199,            0.059408,           0.0086956,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.054215,            0.012416,                   0,             0.68016,             0.40994,             0.43125,             0.20923,            0.055073,           0.0091009,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.054187,            0.012216,                   0,              0.7663,             0.29235,             0.33505,             0.16627,            0.067087,            0.014121,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.053013,            0.011953,                   0,              0.7284,             0.32958,             0.37395,             0.18251,            0.062071,            0.010516,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.053636,            0.012142,                   0,             0.71601,             0.42527,             0.46474,             0.23097,            0.057736,           0.0091791,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.052998,            0.012293,                   0,             0.71174,             0.42892,             0.46847,             0.23805,            0.055947,           0.0093131,                   0,            0.008152,            0.008152,            0.008152
